"date","close","volume","open","high","low"
"2017/07/31","149.6000","5251923.0000","148.0000","149.9800","147.5400"
"2017/07/28","148.0800","3421024.0000","147.9000","148.2700","147.3200"
"2017/07/27","147.7300","5393567.0000","146.1800","147.8600","145.8900"
"2017/07/26","146.6900","2835360.0000","146.8600","147.2450","145.9600"
"2017/07/25","146.9700","5001538.0000","145.7400","147.4000","145.2800"
"2017/07/24","144.5800","7294263.0000","146.6100","146.6900","144.2500"
"2017/07/21","146.6500","9114891.0000","147.0300","147.4600","146.1300"
"2017/07/20","147.0300","18242890.0000","152.5600","152.5700","145.6100"
"2017/07/19","153.3000","2805581.0000","152.5500","154.0000","152.5500"
"2017/07/18","152.1700","3775897.0000","153.7500","153.8600","151.9800"
"2017/07/17","153.8900","4160950.0000","152.9000","154.5000","152.7200"
"2017/07/14","152.8800","3567490.0000","153.2200","153.6700","151.8200"
"2017/07/13","153.2900","3251358.0000","152.8200","154.1300","152.6000"
"2017/07/12","152.5900","4275810.0000","151.4600","153.1400","151.0900"
"2017/07/11","150.6000","5639742.0000","151.4500","151.8100","150.5000"
"2017/07/10","151.1800","5034213.0000","152.2200","152.2600","151.0000"
"2017/07/07","152.2300","3668746.0000","152.0400","152.8700","151.9000"
"2017/07/06","152.0500","3404693.0000","151.7700","152.4800","151.2200"
"2017/07/05","152.6900","4432527.0000","154.0100","154.2950","151.4600"
"2017/07/03","154.0100","1658535.0000","154.3900","154.7900","153.7100"
"2017/06/30","153.4000","3637683.0000","152.5100","154.0000","152.2700"
"2017/06/29","152.1600","2852426.0000","152.7700","153.0000","151.5200"
"2017/06/28","153.2300","5079113.0000","152.7500","153.4500","152.3600"
"2017/06/27","152.2400","4566725.0000","151.0600","153.2500","150.7500"
"2017/06/26","151.4200","4126987.0000","151.6700","151.9700","151.1300"
"2017/06/23","151.3100","11418870.0000","155.1600","155.2300","150.9100"
"2017/06/22","155.4800","3347363.0000","156.4400","157.0700","155.4700"
"2017/06/21","156.5900","4070968.0000","157.9100","158.5300","156.4300"
"2017/06/20","157.6700","4201221.0000","158.7300","159.2242","157.6000"
"2017/06/19","158.8100","5102382.0000","156.9100","159.0300","156.3900"
"2017/06/16","156.6400","9104773.0000","156.2500","156.6900","155.4100"
"2017/06/15","156.7700","3972080.0000","156.1300","157.2700","154.9200"
"2017/06/14","156.7600","5996462.0000","154.5000","157.2800","153.9600"
"2017/06/13","153.9900","3749009.0000","152.3100","154.0400","152.0600"
"2017/06/12","152.1800","4471076.0000","152.8000","153.3000","151.7300"
"2017/06/09","152.9600","4705272.0000","154.0000","154.0000","152.7800"
"2017/06/08","153.5000","4021411.0000","155.1600","155.2335","153.3801"
"2017/06/07","154.9600","3158039.0000","154.6900","155.3000","154.3500"
"2017/06/06","154.2000","3257777.0000","154.4400","154.6600","153.6500"
"2017/06/05","154.7900","2651771.0000","155.5300","155.6200","154.2300"
"2017/06/02","155.3500","3481327.0000","154.7900","155.8600","154.4200"
"2017/06/01","155.1500","3383273.0000","153.5200","155.1600","152.7400"
"2017/05/31","153.5100","7156354.0000","154.3600","154.3800","153.2800"
"2017/05/30","153.8800","3499883.0000","154.0000","154.5600","153.5200"
"2017/05/26","154.9000","4284054.0000","156.1000","156.4200","154.6400"
"2017/05/25","156.4600","3107260.0000","156.2000","156.6900","155.3500"
"2017/05/24","155.0000","4591646.0000","154.7000","155.4300","153.2900"
"2017/05/23","154.8300","4640232.0000","155.9100","156.4300","154.6800"
"2017/05/22","155.9600","3800638.0000","156.4900","157.0000","155.8000"
